Timestamp,Gender,Age,  Study Level,Faculty,FamiliarWithAI,Usage-Frequency,ToolsUsed,Purpose,LearningEffectiveness,UnderstandingImprovement,PerformanceImprovement,SubmittedAIContent,IntegrityAwareness,OpinionIntegration,OverallImpact
2026/04/13 6:40:11 AM GMT+6,Male,23-26,Undergraduate,Science & Technology,Yes,Weekly,ChatGPT;Google Bard / Gemini,Assignment writing;Research help;Coding help,Agree,Neutral,Neutral,No,Yes,No,Neutral
2026/04/17 1:10:16 AM GMT+6,Male,23-26,Undergraduate,Business Administration,Yes,Weekly,ChatGPT,Coding help,Agree,Agree,Agree,No,No,Yes,Neutral
2026/04/17 1:18:37 AM GMT+6,Male,23-26,Graduate,Business Administration,Yes,Daily,Google Bard / Gemini,Research help,Agree,Agree,Agree,No,Yes,Yes,Very Positive
2026/04/17 1:23:52 AM GMT+6,Male,23-26,Undergraduate,Science & Technology,Yes,Weekly,ChatGPT;Google Bard / Gemini;Others,Assignment writing;Research help;Coding help,Agree,Agree,Agree,No,Yes,Yes,Positive
2026/04/17 9:59:58 AM GMT+6,Female,23-26,Undergraduate,Business Administration,Yes,Daily,ChatGPT,All of the above,Agree,Agree,Agree,No,Yes,Maybe,Positive
2026/04/17 10:11:48 AM GMT+6,Male,23-26,Undergraduate,Engineering,Yes,Occasionally,ChatGPT;Google Bard / Gemini,All of the above,Disagree,Neutral,Agree,No,Yes,No,Positive
2026/04/17 10:12:19 AM GMT+6,Male,23-26,Undergraduate,Science & Technology,Yes,Daily,ChatGPT;Grammarly;Google Bard / Gemini;QuillBot,Research help;Coding help,Agree,Agree,Agree,No,Yes,Yes,Positive
2026/04/17 10:59:37 AM GMT+6,Male,23-26,Undergraduate,Engineering,Yes,Daily,ChatGPT,Assignment writing;Coding help,Neutral,Agree,Disagree,No,Yes,Yes,Negative
2026/04/17 11:09:43 AM GMT+6,Male,23-26,Undergraduate,Science & Technology,Yes,Daily,ChatGPT,Assignment writing,Agree,Neutral,Agree,No,Yes,No,Positive
2026/04/17 12:26:15 PM GMT+6,Male,23-26,Undergraduate,Science & Technology,Yes,Daily,ChatGPT;Google Bard / Gemini;QuillBot;Others,Assignment writing;Research help;Coding help,Agree,Agree,Agree,No,Yes,Yes,Positive
